The Aga Hall Estate,The Aga Hall Estate,3,"Check out 2,3 BHK apartments in Mazgaon, now available for sale at The Aga Hall Estate. The housing society is RERA-registered with P51900026326 registration number. Here units have different sizes, mostly in range of 660 - 1,404 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 3.42 - 8.12 Cr","[""St. Mary's School ICSE, Mumbai"", 'Eastern Expressway Highway']",8.12,1404.0,57834.76,3
Arkade Eden,Arkade,1,"Arkade Eden, one of the known housing societes in Western Mumbai, brings classic yet modern 1,2 BHK apartments in Malad West. Apartments in this complex are available in price range of Rs. 1.24 - 2.54 Cr. The housing society is RERA-registered with P51800054908 registration number. Here units have different sizes, mostly in range of 497.51 - 838.29 sq.ft. CARPET area","['Western Express Highway', 'Nearest Railway Station']",1.24,83829.0,147.92,1
Arkade Eden,Arkade,2,"Arkade Eden, one of the known housing societes in Western Mumbai, brings classic yet modern 1,2 BHK apartments in Malad West. Apartments in this complex are available in price range of Rs. 1.24 - 2.54 Cr. The housing society is RERA-registered with P51800054908 registration number. Here units have different sizes, mostly in range of 497.51 - 838.29 sq.ft. CARPET area","['Western Express Highway', 'Nearest Railway Station']",2.54,83829.0,303.0,2
K Raheja Valletta,K Raheja Corp,3,"Finest 3 BHK apartments in Vile Parle West available for sale in K Raheja Valletta. Apartments in this complex are available in price range of Rs. 33.68 Cr. Apartments in K Raheja Valletta have CARPET area ranging between 1,891 - 3,368.78 sq.ft.. The housing society is RERA-registered with P51800046901 registration number",['Gated Society'],33.68,336878.0,999.77,3
Platinum Pristine,Platinum Corp,2,"Beautiful 2 BHK apartments in Andheri West, are now available in Platinum Pristine housing project. The housing society is RERA-registered with P51800032796 registration number. Apartment prices in this housing society vary in the range of Rs. 2.03 - 2.38 Cr. Here units have different sizes, mostly in range of 520 - 610 sq.ft. CARPET area","['Dr. S. Radhakrishnan Intl School', 'Vivanta Multi Speciality Hospital']",2.38,610.0,39016.39,2
Vaibhavlaxmi Passcode One Vikhroli,Vaibhavlaxmi Builders,1,"Vaibhavlaxmi Passcode One Vikhroli, one of the known housing societes in Central Mumbai, brings classic yet modern 1,2,3 BHK apartments in Vikhroli East. This society offers apartments in the price range of Rs. 85 L - 2.51 Cr. Vaibhavlaxmi Passcode One Vikhroli 's RERA registration number is P51800028005. Here units have different sizes, mostly in range of 398 - 873 sq.ft. CARPET area","[""St.Joseph's High School Juhu"", 'NMIMS']",1.08,873.0,12371.13,1
Vaibhavlaxmi Passcode One Vikhroli,Vaibhavlaxmi Builders,2,"Vaibhavlaxmi Passcode One Vikhroli, one of the known housing societes in Central Mumbai, brings classic yet modern 1,2,3 BHK apartments in Vikhroli East. This society offers apartments in the price range of Rs. 85 L - 2.51 Cr. Vaibhavlaxmi Passcode One Vikhroli 's RERA registration number is P51800028005. Here units have different sizes, mostly in range of 398 - 873 sq.ft. CARPET area","[""St.Joseph's High School Juhu"", 'NMIMS']",1.56,873.0,17869.42,2
Vaibhavlaxmi Passcode One Vikhroli,Vaibhavlaxmi Builders,3,"Vaibhavlaxmi Passcode One Vikhroli, one of the known housing societes in Central Mumbai, brings classic yet modern 1,2,3 BHK apartments in Vikhroli East. This society offers apartments in the price range of Rs. 85 L - 2.51 Cr. Vaibhavlaxmi Passcode One Vikhroli 's RERA registration number is P51800028005. Here units have different sizes, mostly in range of 398 - 873 sq.ft. CARPET area","[""St.Joseph's High School Juhu"", 'NMIMS']",2.51,873.0,28751.43,3
Godrej RKS,Godrej Properties,2,"Check out 2,3,4 BHK apartments in Chembur, now available for sale at Godrej RKS. Apartments in Godrej RKS have CARPET area ranging between 537.98 - 2,017.91 sq.ft.. This society offers apartments in the price range of Rs. 2.93 - 13.69 Cr. Godrej RKS 's RERA registration number is P51800023915","['Play On Arena', 'Indu hospital']",2.93,201791.0,145.2,2
Godrej RKS,Godrej Properties,3,"Check out 2,3,4 BHK apartments in Chembur, now available for sale at Godrej RKS. Apartments in Godrej RKS have CARPET area ranging between 537.98 - 2,017.91 sq.ft.. This society offers apartments in the price range of Rs. 2.93 - 13.69 Cr. Godrej RKS 's RERA registration number is P51800023915","['Play On Arena', 'Indu hospital']",7.37,201791.0,365.23,3
Godrej RKS,Godrej Properties,4,"Check out 2,3,4 BHK apartments in Chembur, now available for sale at Godrej RKS. Apartments in Godrej RKS have CARPET area ranging between 537.98 - 2,017.91 sq.ft.. This society offers apartments in the price range of Rs. 2.93 - 13.69 Cr. Godrej RKS 's RERA registration number is P51800023915","['Play On Arena', 'Indu hospital']",13.69,201791.0,678.42,4
Sahakar Vista,Sahakar Group,1,"Sahakar Vista brings you beautifully designed 1 BHK Apartment, 2 BHK Apartment and 1 BHK Studio Apartment in Anand Nagar,Dahisar East. Barbecue, Terrace Garden and Multipurpose Court are some of the amenities offered here. Property options in Sahakar Vista varies between 381 - 539 sq.ft.. Sahakar Vista is a New Launch project","['Vikhroli Railway Station', 'Sandesh College']",0.88,539.0,16326.53,1
Sahakar Vista,Sahakar Group,2,"Sahakar Vista brings you beautifully designed 1 BHK Apartment, 2 BHK Apartment and 1 BHK Studio Apartment in Anand Nagar,Dahisar East. Barbecue, Terrace Garden and Multipurpose Court are some of the amenities offered here. Property options in Sahakar Vista varies between 381 - 539 sq.ft.. Sahakar Vista is a New Launch project","['Vikhroli Railway Station', 'Sandesh College']",1.35,539.0,25046.38,2
Sahakar Vista,Sahakar Group,1,"Sahakar Vista brings you beautifully designed 1 BHK Apartment, 2 BHK Apartment and 1 BHK Studio Apartment in Anand Nagar,Dahisar East. Barbecue, Terrace Garden and Multipurpose Court are some of the amenities offered here. Property options in Sahakar Vista varies between 381 - 539 sq.ft.. Sahakar Vista is a New Launch project","['Vikhroli Railway Station', 'Sandesh College']",,539.0,,1
Puri SeleQt,Puri Creators,2,"Puri SeleQt society now offers elegantly built 2,3 BHK apartments in Andheri East. Prices of apartments in this project, vary between Rs. 2.27 - 3.8 Cr. Apartments in Puri SeleQt have CARPET area ranging between 709 - 1,188 sq.ft.. The housing society is RERA-registered with P51800049868 registration number","['Top Floor', 'Marble Flooring']",2.75,1188.0,23148.15,2
Puri SeleQt,Puri Creators,3,"Puri SeleQt society now offers elegantly built 2,3 BHK apartments in Andheri East. Prices of apartments in this project, vary between Rs. 2.27 - 3.8 Cr. Apartments in Puri SeleQt have CARPET area ranging between 709 - 1,188 sq.ft.. The housing society is RERA-registered with P51800049868 registration number","['Top Floor', 'Marble Flooring']",3.8,1188.0,31986.53,3
Ajmera Greenfinity,Ajmera Group,1,"Here are beautifully built 1,2,3 BHK apartments in Wadala East, available for sale at Ajmera Greenfinity. This society is RERA approved and P51800027999 is the RERA number. Ajmera Greenfinity has apartments in multiple configurations, in range of 473.6 - 820 sq.ft.. Prices of apartments in this project, vary between Rs. 1.75 - 3.03 Cr","['Eastern Fwy', 'Adarsh High School']",,820.0,,1
Ajmera Greenfinity,Ajmera Group,2,"Here are beautifully built 1,2,3 BHK apartments in Wadala East, available for sale at Ajmera Greenfinity. This society is RERA approved and P51800027999 is the RERA number. Ajmera Greenfinity has apartments in multiple configurations, in range of 473.6 - 820 sq.ft.. Prices of apartments in this project, vary between Rs. 1.75 - 3.03 Cr","['Eastern Fwy', 'Adarsh High School']",1.98,820.0,24146.34,2
Ajmera Greenfinity,Ajmera Group,3,"Here are beautifully built 1,2,3 BHK apartments in Wadala East, available for sale at Ajmera Greenfinity. This society is RERA approved and P51800027999 is the RERA number. Ajmera Greenfinity has apartments in multiple configurations, in range of 473.6 - 820 sq.ft.. Prices of apartments in this project, vary between Rs. 1.75 - 3.03 Cr","['Eastern Fwy', 'Adarsh High School']",3.03,820.0,36951.22,3
Runwal Timeless,Runwal Group,1,"Spacious 1,2,3 BHK apartments in Wadala East are available for sale.Check out latest property options at Runwal Timeless housing society. Apartment prices in this housing society vary in the range of Rs. 1.3 - 3.12 Cr. Here units have different sizes, mostly in range of 418 - 1,010.19 sq.ft. CARPET area. Runwal Timeless is a RERA- registered society and P51900005685 is the RERA registration number","['Mumbai Monorail', 'K.J. Somaiya Hospital']",1.31,101019.0,129.68,1
Runwal Timeless,Runwal Group,2,"Spacious 1,2,3 BHK apartments in Wadala East are available for sale.Check out latest property options at Runwal Timeless housing society. Apartment prices in this housing society vary in the range of Rs. 1.3 - 3.12 Cr. Here units have different sizes, mostly in range of 418 - 1,010.19 sq.ft. CARPET area. Runwal Timeless is a RERA- registered society and P51900005685 is the RERA registration number","['Mumbai Monorail', 'K.J. Somaiya Hospital']",2.28,101019.0,225.7,2
Runwal Timeless,Runwal Group,3,"Spacious 1,2,3 BHK apartments in Wadala East are available for sale.Check out latest property options at Runwal Timeless housing society. Apartment prices in this housing society vary in the range of Rs. 1.3 - 3.12 Cr. Here units have different sizes, mostly in range of 418 - 1,010.19 sq.ft. CARPET area. Runwal Timeless is a RERA- registered society and P51900005685 is the RERA registration number","['Mumbai Monorail', 'K.J. Somaiya Hospital']",3.12,101019.0,308.85,3
Lotus Aqua Residences,Lotus Group Mumbai,2,"Spacious 2,3 BHK apartments in Versova are available for sale.Check out latest property options at Lotus Aqua Residences housing society. Lotus Aqua Residences is a RERA- registered society and P51800006403 is the RERA registration number. Prices of apartments in this project, vary between Rs. 2.75 - 3.37 Cr. Here units have different sizes, mostly in range of 724 - 1,044 sq.ft. CARPET area",['North Facing'],2.79,1044.0,26724.14,2
Lotus Aqua Residences,Lotus Group Mumbai,3,"Spacious 2,3 BHK apartments in Versova are available for sale.Check out latest property options at Lotus Aqua Residences housing society. Lotus Aqua Residences is a RERA- registered society and P51800006403 is the RERA registration number. Prices of apartments in this project, vary between Rs. 2.75 - 3.37 Cr. Here units have different sizes, mostly in range of 724 - 1,044 sq.ft. CARPET area",['North Facing'],3.37,1044.0,32279.69,3
Goregaon Vivan,Goregaon Electrical Industries,1,"Here are beautifully built 1,2 BHK apartments in Goregaon West, available for sale at Goregaon Vivan. This society offers apartments in the price range of Rs. 97.44 L - 1.6 Cr. Goregaon Vivan apartments are available in multiples sizes, ranging from 379.86 - 598.47 sq.ft. CARPET area. Goregaon Vivan is a RERA- registered society and P51800035019 is the RERA registration number","['Gulmohar Garden', 'Bank Of Baroda']",0.9918,59847.0,165.72,1
Goregaon Vivan,Goregaon Electrical Industries,2,"Here are beautifully built 1,2 BHK apartments in Goregaon West, available for sale at Goregaon Vivan. This society offers apartments in the price range of Rs. 97.44 L - 1.6 Cr. Goregaon Vivan apartments are available in multiples sizes, ranging from 379.86 - 598.47 sq.ft. CARPET area. Goregaon Vivan is a RERA- registered society and P51800035019 is the RERA registration number","['Gulmohar Garden', 'Bank Of Baroda']",1.6,59847.0,267.35,2
Hubtown The Premiere Residences,Hubtown,2,"Check out 2,3,4 BHK apartments in Andheri West, now available for sale at Hubtown The Premiere Residences. Here units have different sizes, mostly in range of 673.07 - 2,086.26 sq.ft. CARPET area. This society is RERA approved and P51800002671 is the RERA number. Prices of apartments in this project, vary between Rs. 2.63 - 8.14 Cr","['JK Public School', 'SRV Hospital']",3.63,208626.0,174.0,2
Hubtown The Premiere Residences,Hubtown,3,"Check out 2,3,4 BHK apartments in Andheri West, now available for sale at Hubtown The Premiere Residences. Here units have different sizes, mostly in range of 673.07 - 2,086.26 sq.ft. CARPET area. This society is RERA approved and P51800002671 is the RERA number. Prices of apartments in this project, vary between Rs. 2.63 - 8.14 Cr","['JK Public School', 'SRV Hospital']",4.63,208626.0,221.93,3
Hubtown The Premiere Residences,Hubtown,4,"Check out 2,3,4 BHK apartments in Andheri West, now available for sale at Hubtown The Premiere Residences. Here units have different sizes, mostly in range of 673.07 - 2,086.26 sq.ft. CARPET area. This society is RERA approved and P51800002671 is the RERA number. Prices of apartments in this project, vary between Rs. 2.63 - 8.14 Cr","['JK Public School', 'SRV Hospital']",8.14,208626.0,390.17,4
Dotom Hilton,Dotom Superstructures LLP,2,"Check out 2,3 BHK apartments in Borivali West, now available for sale at Dotom Hilton. This society offers apartments in the price range of Rs. 1.84 - 2.69 Cr. Here units have different sizes, mostly in range of 604.5 - 996.74 sq.ft. CARPET area. This society is RERA approved and P51800054884 is the RERA number","['Kokilaben Hospital', 'Gyan Kendra Secondary School']",1.84,99674.0,184.6,2
Dotom Hilton,Dotom Superstructures LLP,3,"Check out 2,3 BHK apartments in Borivali West, now available for sale at Dotom Hilton. This society offers apartments in the price range of Rs. 1.84 - 2.69 Cr. Here units have different sizes, mostly in range of 604.5 - 996.74 sq.ft. CARPET area. This society is RERA approved and P51800054884 is the RERA number","['Kokilaben Hospital', 'Gyan Kendra Secondary School']",2.69,99674.0,269.88,3
49 Simandhar Royale,Simandhar Homes LLP,1,"Finest 1,2 BHK apartments in Chembur available for sale in 49 Simandhar Royale. 49 Simandhar Royale has apartments in multiple configurations, in range of 397 - 604 sq.ft.. This society is RERA approved and P51800053382 is the RERA number. This society offers apartments in the price range of Rs. 99.25 L - 1.51 Cr","['Pawar Public School', 'Arihant Superspeciality Hospital']",1.23,604.0,20364.24,1
49 Simandhar Royale,Simandhar Homes LLP,2,"Finest 1,2 BHK apartments in Chembur available for sale in 49 Simandhar Royale. 49 Simandhar Royale has apartments in multiple configurations, in range of 397 - 604 sq.ft.. This society is RERA approved and P51800053382 is the RERA number. This society offers apartments in the price range of Rs. 99.25 L - 1.51 Cr","['Pawar Public School', 'Arihant Superspeciality Hospital']",1.51,604.0,25000.0,2
Roha Vatika,Roha Realty,1,"Check out 1 BHK Apartment, 2 BHK Apartment and 1 BHK Studio Apartment in Roha Vatika, one of the best offerings in Kurla East. Prices here start from Rs. 1.04 Cr. Laundry, RO System and Wi-Fi Connectivity are some of the popular amenities offered in this project. Property options in Roha Vatika varies between 439 - 558 sq.ft.","['Chembur Karnatak High School And College', 'Zen Multi Speciality Hospital']",1.04,558.0,18637.99,1
Roha Vatika,Roha Realty,2,"Check out 1 BHK Apartment, 2 BHK Apartment and 1 BHK Studio Apartment in Roha Vatika, one of the best offerings in Kurla East. Prices here start from Rs. 1.04 Cr. Laundry, RO System and Wi-Fi Connectivity are some of the popular amenities offered in this project. Property options in Roha Vatika varies between 439 - 558 sq.ft.","['Chembur Karnatak High School And College', 'Zen Multi Speciality Hospital']",1.42,558.0,25448.03,2
Roha Vatika,Roha Realty,1,"Check out 1 BHK Apartment, 2 BHK Apartment and 1 BHK Studio Apartment in Roha Vatika, one of the best offerings in Kurla East. Prices here start from Rs. 1.04 Cr. Laundry, RO System and Wi-Fi Connectivity are some of the popular amenities offered in this project. Property options in Roha Vatika varies between 439 - 558 sq.ft.","['Chembur Karnatak High School And College', 'Zen Multi Speciality Hospital']",,558.0,,1
Raghav Parijat,Raghav Raj Builders,1,"Check out 1,2 BHK apartments in Kurla East, now available for sale at Raghav Parijat. Prices of apartments in this project, vary between Rs. 97.98 L - 1.48 Cr. This society is RERA approved and P51800050808 is the RERA number. Apartments in Raghav Parijat have CARPET area ranging between 426 - 643 sq.ft.","['Kurla Station', 'Sushrut Hospital']",0.9798,643.0,15237.95,1
Raghav Parijat,Raghav Raj Builders,2,"Check out 1,2 BHK apartments in Kurla East, now available for sale at Raghav Parijat. Prices of apartments in this project, vary between Rs. 97.98 L - 1.48 Cr. This society is RERA approved and P51800050808 is the RERA number. Apartments in Raghav Parijat have CARPET area ranging between 426 - 643 sq.ft.","['Kurla Station', 'Sushrut Hospital']",1.48,643.0,23017.11,2
Raghav Nova,Raghav Raj Builders,1,"Raghav Nova society now offers elegantly built 1,2 BHK apartments in Nehru Nagar. Raghav Nova 's RERA registration number is P51800030949. Raghav Nova has apartments in multiple configurations, in range of 405.26 - 482.98 sq.ft.. Apartment prices in this housing society vary in the range of Rs. 93.15 L - 1.11 Cr","['ORCHIDS', 'CritiCare Asia']",0.9315,48298.0,192.87,1
Raghav Nova,Raghav Raj Builders,2,"Raghav Nova society now offers elegantly built 1,2 BHK apartments in Nehru Nagar. Raghav Nova 's RERA registration number is P51800030949. Raghav Nova has apartments in multiple configurations, in range of 405.26 - 482.98 sq.ft.. Apartment prices in this housing society vary in the range of Rs. 93.15 L - 1.11 Cr","['ORCHIDS', 'CritiCare Asia']",1.11,48298.0,229.82,2
Raghav Amara,Raghav Raj Builders,1,"Finest 1,2,3,5 BHK apartments in Kurla East available for sale in Raghav Amara. Raghav Amara is a RERA- registered society and P51800030338 is the RERA registration number. Prices of apartments in this project, vary between Rs. 1.23 - 3.44 Cr. Apartments in Raghav Amara have CARPET area ranging between 382 - 1,497.58 sq.ft.","['Chintamani Hospital', 'Suman Nagar Metro Station']",1.23,149758.0,82.13,1
Raghav Amara,Raghav Raj Builders,2,"Finest 1,2,3,5 BHK apartments in Kurla East available for sale in Raghav Amara. Raghav Amara is a RERA- registered society and P51800030338 is the RERA registration number. Prices of apartments in this project, vary between Rs. 1.23 - 3.44 Cr. Apartments in Raghav Amara have CARPET area ranging between 382 - 1,497.58 sq.ft.","['Chintamani Hospital', 'Suman Nagar Metro Station']",1.45,149758.0,96.82,2
Raghav Amara,Raghav Raj Builders,3,"Finest 1,2,3,5 BHK apartments in Kurla East available for sale in Raghav Amara. Raghav Amara is a RERA- registered society and P51800030338 is the RERA registration number. Prices of apartments in this project, vary between Rs. 1.23 - 3.44 Cr. Apartments in Raghav Amara have CARPET area ranging between 382 - 1,497.58 sq.ft.","['Chintamani Hospital', 'Suman Nagar Metro Station']",2.14,149758.0,142.9,3
Raghav Amara,Raghav Raj Builders,5,"Finest 1,2,3,5 BHK apartments in Kurla East available for sale in Raghav Amara. Raghav Amara is a RERA- registered society and P51800030338 is the RERA registration number. Prices of apartments in this project, vary between Rs. 1.23 - 3.44 Cr. Apartments in Raghav Amara have CARPET area ranging between 382 - 1,497.58 sq.ft.","['Chintamani Hospital', 'Suman Nagar Metro Station']",3.44,149758.0,229.7,5
Sunset Gardens by Marathon,Marathon Realty,1,"For Multiple: Sunset Gardens by Marathon offers beautifully designed 1 BHK Apartment, 2 BHK Apartment and 1 BHK Studio Apartment in Mulund West, Central Mumbai. Property prices here start from Rs. 58.24 L. Properties in Sunset Gardens by Marathon are sized in the range of 198 - 1,003 sq.ft.. Terrace Garden, Wi-Fi Connectivity and Yoga/Meditation Area are some of the popular amenities offered in this project","['East Point Mall', 'Eastern Expressway']",,1003.0,,1
Sunset Gardens by Marathon,Marathon Realty,2,"For Multiple: Sunset Gardens by Marathon offers beautifully designed 1 BHK Apartment, 2 BHK Apartment and 1 BHK Studio Apartment in Mulund West, Central Mumbai. Property prices here start from Rs. 58.24 L. Properties in Sunset Gardens by Marathon are sized in the range of 198 - 1,003 sq.ft.. Terrace Garden, Wi-Fi Connectivity and Yoga/Meditation Area are some of the popular amenities offered in this project","['East Point Mall', 'Eastern Expressway']",2.76,1003.0,27517.45,2
Sunset Gardens by Marathon,Marathon Realty,1,"For Multiple: Sunset Gardens by Marathon offers beautifully designed 1 BHK Apartment, 2 BHK Apartment and 1 BHK Studio Apartment in Mulund West, Central Mumbai. Property prices here start from Rs. 58.24 L. Properties in Sunset Gardens by Marathon are sized in the range of 198 - 1,003 sq.ft.. Terrace Garden, Wi-Fi Connectivity and Yoga/Meditation Area are some of the popular amenities offered in this project","['East Point Mall', 'Eastern Expressway']",0.5824,1003.0,5806.58,1
Ruparel Crest,Ruparel Realty,1,"Check out 1,2,3 BHK apartments in Kurla East, now available for sale at Ruparel Crest. This society is RERA approved and P51800052788 is the RERA number. This society offers apartments in the price range of Rs. 1.02 - 2.17 Cr. Ruparel Crest apartments are available in multiples sizes, ranging from 391 - 870 sq.ft. CARPET area","['East Point Mall', 'Sushrut Hospital & Research Centre']",1.02,870.0,11724.14,1
Ruparel Crest,Ruparel Realty,2,"Check out 1,2,3 BHK apartments in Kurla East, now available for sale at Ruparel Crest. This society is RERA approved and P51800052788 is the RERA number. This society offers apartments in the price range of Rs. 1.02 - 2.17 Cr. Ruparel Crest apartments are available in multiples sizes, ranging from 391 - 870 sq.ft. CARPET area","['East Point Mall', 'Sushrut Hospital & Research Centre']",2.02,870.0,23218.39,2
Ruparel Crest,Ruparel Realty,3,"Check out 1,2,3 BHK apartments in Kurla East, now available for sale at Ruparel Crest. This society is RERA approved and P51800052788 is the RERA number. This society offers apartments in the price range of Rs. 1.02 - 2.17 Cr. Ruparel Crest apartments are available in multiples sizes, ranging from 391 - 870 sq.ft. CARPET area","['East Point Mall', 'Sushrut Hospital & Research Centre']",2.17,870.0,24942.53,3
Mamtora Shree Govind Krupa,Mamtora Foundation,1,"Spacious 1,2 BHK apartments in Malad West are available for sale.Check out latest property options at Mamtora Shree Govind Krupa housing society. The housing society is RERA-registered with P51800046222 registration number. This society offers apartments in the price range of Rs. 1.02 - 1.73 Cr. Mamtora Shree Govind Krupa apartments are available in multiples sizes, ranging from 363 - 640 sq.ft. CARPET area","['East Facing', 'Gated Society']",1.02,640.0,15937.5,1
Mamtora Shree Govind Krupa,Mamtora Foundation,2,"Spacious 1,2 BHK apartments in Malad West are available for sale.Check out latest property options at Mamtora Shree Govind Krupa housing society. The housing society is RERA-registered with P51800046222 registration number. This society offers apartments in the price range of Rs. 1.02 - 1.73 Cr. Mamtora Shree Govind Krupa apartments are available in multiples sizes, ranging from 363 - 640 sq.ft. CARPET area","['East Facing', 'Gated Society']",1.73,640.0,27031.25,2
Prach GS Pearl,Prach Realcon Llp,1,"Here are beautifully built 1,2 BHK apartments in Vikhroli East, available for sale at Prach GS Pearl. Prach GS Pearl is a RERA- registered society and P51800053941 is the RERA registration number. This society offers apartments in the price range of Rs. 77 L - 1.25 Cr. Here units have different sizes, mostly in range of 416.45 - 679 sq.ft. CARPET area","['Utkarsha Mandal High School', 'Malad Railway Station']",0.77,679.0,11340.21,1
Prach GS Pearl,Prach Realcon Llp,2,"Here are beautifully built 1,2 BHK apartments in Vikhroli East, available for sale at Prach GS Pearl. Prach GS Pearl is a RERA- registered society and P51800053941 is the RERA registration number. This society offers apartments in the price range of Rs. 77 L - 1.25 Cr. Here units have different sizes, mostly in range of 416.45 - 679 sq.ft. CARPET area","['Utkarsha Mandal High School', 'Malad Railway Station']",1.25,679.0,18409.43,2
Prach Gs Casa,Prach Realcon Llp,1,"Prach Gs Casa, one of the known housing societes in Central Mumbai, brings classic yet modern 1,2 BHK apartments in Vikhroli East. This society offers apartments in the price range of Rs. 84 L - 1.3 Cr. Prach Gs Casa 's RERA registration number is P51800049559. Prach Gs Casa has apartments in multiple configurations, in range of 439 - 681 sq.ft.",['Corner Property'],0.84,681.0,12334.8,1
Prach Gs Casa,Prach Realcon Llp,2,"Prach Gs Casa, one of the known housing societes in Central Mumbai, brings classic yet modern 1,2 BHK apartments in Vikhroli East. This society offers apartments in the price range of Rs. 84 L - 1.3 Cr. Prach Gs Casa 's RERA registration number is P51800049559. Prach Gs Casa has apartments in multiple configurations, in range of 439 - 681 sq.ft.",['Corner Property'],1.3,681.0,19089.57,2
Sugee Saraswati Niwas,Sugee Group,3,"Here are beautifully built 3 BHK apartments in Shivaji Park, available for sale at Sugee Saraswati Niwas. Here units have different sizes, mostly in range of 1,182.85 sq.ft. CARPET area. Sugee Saraswati Niwas is a RERA- registered society and P51900048130 is the RERA registration number. The apartments here are Under Construction","['Chhatrapati Shivaji Maharaj Park', 'Bombay Scottish School']",,,,3
Marathon Monte Carlo,Marathon Realty,4,"Marathon Monte Carlo, one of the known housing societes in Central Mumbai, brings classic yet modern 4,5,6 BHK apartments in Asha Nagar, Mulund West. The housing society is RERA-registered with P51800002662 registration number. Marathon Monte Carlo has apartments in multiple configurations, in range of 2,312 - 3,741 sq.ft.. This society offers apartments in the price range of Rs. 4.11 - 8.5 Cr","['High Street Phoenix', 'Peninsula Corporate Park']",4.11,3741.0,10986.37,4
Marathon Monte Carlo,Marathon Realty,5,"Marathon Monte Carlo, one of the known housing societes in Central Mumbai, brings classic yet modern 4,5,6 BHK apartments in Asha Nagar, Mulund West. The housing society is RERA-registered with P51800002662 registration number. Marathon Monte Carlo has apartments in multiple configurations, in range of 2,312 - 3,741 sq.ft.. This society offers apartments in the price range of Rs. 4.11 - 8.5 Cr","['High Street Phoenix', 'Peninsula Corporate Park']",8.5,3741.0,22721.2,5
Marathon Monte Carlo,Marathon Realty,6,"Marathon Monte Carlo, one of the known housing societes in Central Mumbai, brings classic yet modern 4,5,6 BHK apartments in Asha Nagar, Mulund West. The housing society is RERA-registered with P51800002662 registration number. Marathon Monte Carlo has apartments in multiple configurations, in range of 2,312 - 3,741 sq.ft.. This society offers apartments in the price range of Rs. 4.11 - 8.5 Cr","['High Street Phoenix', 'Peninsula Corporate Park']",5.55,3741.0,14835.61,6
Lodha Kiara,Lodha,2,"Spacious 2,3,4,5 BHK apartments in Worli are available for sale.Check out latest property options at Lodha Kiara housing society. Apartments in this complex are available in price range of Rs. 5.64 - 13.81 Cr. Here units have different sizes, mostly in range of 920 - 2,255 sq.ft. CARPET area. The apartments here are Ready To Move","['Gated Society', 'Overlooking Main Road']",5.64,2255.0,25011.09,2
Lodha Kiara,Lodha,3,"Spacious 2,3,4,5 BHK apartments in Worli are available for sale.Check out latest property options at Lodha Kiara housing society. Apartments in this complex are available in price range of Rs. 5.64 - 13.81 Cr. Here units have different sizes, mostly in range of 920 - 2,255 sq.ft. CARPET area. The apartments here are Ready To Move","['Gated Society', 'Overlooking Main Road']",7.33,2255.0,32505.54,3
Lodha Kiara,Lodha,4,"Spacious 2,3,4,5 BHK apartments in Worli are available for sale.Check out latest property options at Lodha Kiara housing society. Apartments in this complex are available in price range of Rs. 5.64 - 13.81 Cr. Here units have different sizes, mostly in range of 920 - 2,255 sq.ft. CARPET area. The apartments here are Ready To Move","['Gated Society', 'Overlooking Main Road']",10.43,2255.0,46252.77,4
Lodha Kiara,Lodha,5,"Spacious 2,3,4,5 BHK apartments in Worli are available for sale.Check out latest property options at Lodha Kiara housing society. Apartments in this complex are available in price range of Rs. 5.64 - 13.81 Cr. Here units have different sizes, mostly in range of 920 - 2,255 sq.ft. CARPET area. The apartments here are Ready To Move","['Gated Society', 'Overlooking Main Road']",13.81,2255.0,61241.69,5
AO f Residences,Riddhi Siddhi and A and O Realty,2,"Finest 2,3 BHK apartments in Malad East available for sale in AO f Residences. Apartment prices in this housing society vary in the range of Rs. 2.15 - 3.16 Cr. AO f Residences has apartments in multiple configurations, in range of 729.7 - 1,074.3 sq.ft.. The housing society is RERA-registered with P51800007547 registration number","['Western Express Highway', 'Proposed Metro Station']",2.15,10743.0,2001.3,2
AO f Residences,Riddhi Siddhi and A and O Realty,3,"Finest 2,3 BHK apartments in Malad East available for sale in AO f Residences. Apartment prices in this housing society vary in the range of Rs. 2.15 - 3.16 Cr. AO f Residences has apartments in multiple configurations, in range of 729.7 - 1,074.3 sq.ft.. The housing society is RERA-registered with P51800007547 registration number","['Western Express Highway', 'Proposed Metro Station']",3.16,10743.0,2941.45,3
Mahavir Majesty,Mahavir Builders Mumbai,2,"Mahavir Majesty society now offers elegantly built 2,3 BHK apartments in Kandivali West. This society is RERA approved and P51800032166 is the RERA number. Here units have different sizes, mostly in range of 636 - 930 sq.ft. CARPET area. The apartments here are New Launch","['Utkarsha Mandal High School', 'Vidya Vikas Universal College']",,930.0,,2
Mahavir Majesty,Mahavir Builders Mumbai,3,"Mahavir Majesty society now offers elegantly built 2,3 BHK apartments in Kandivali West. This society is RERA approved and P51800032166 is the RERA number. Here units have different sizes, mostly in range of 636 - 930 sq.ft. CARPET area. The apartments here are New Launch","['Utkarsha Mandal High School', 'Vidya Vikas Universal College']",,930.0,,3
